user_id,segment,churn_risk,ltv_decile,days_since_signup,last_active_days_ago
USR000001,Churned,Critical,1,19,141
USR000002,Casual Browser,High,9,201,80
USR000003,Churned,Critical,2,43,128
USR000004,Lost-Compliance,Low,7,138,79
USR000005,Activation Risk,High,2,119,27
USR000006,Casual Browser,High,4,214,80
USR000007,Lost-Compliance,Low,6,232,89
USR000008,Churned,Critical,1,434,176
USR000009,Casual Browser,High,7,21,78
USR000010,Casual Browser,High,3,20,80
USR000011,Churned,Critical,1,4,172
USR000012,Churned,Critical,1,123,109
USR000013,Churned,Critical,3,3,137
USR000014,Churned,Critical,1,4,166
USR000015,Casual Browser,High,2,202,88
USR000016,Churned,Critical,3,359,152
USR000017,Casual Browser,High,8,440,75
USR000018,Churned,Critical,4,297,113
USR000019,Casual Browser,High,1,455,78
USR000020,Churned,Critical,4,8,140
USR000021,Churned,Critical,2,125,180
USR000022,Churned,Critical,1,152,166
USR000023,Churned,Critical,1,441,180
USR000024,Casual Browser,High,10,258,50
USR000025,Engaged Verified,Low,10,305,23
USR000026,Churned,Critical,4,372,158
USR000027,Churned,Critical,3,161,101
USR000028,Casual Browser,High,3,483,13
USR000029,Churned,Critical,4,186,116
USR000030,Casual Browser,High,9,122,73
USR000031,Casual Browser,High,7,411,83
USR000032,Casual Browser,High,7,65,90
USR000033,Churned,Critical,3,313,165
USR000034,Engaged Verified,Low,1,3,10
USR000035,Casual Browser,High,9,152,89
USR000036,Churned,Critical,2,175,96
USR000037,Casual Browser,High,7,346,41
USR000038,Casual Browser,High,9,94,77
USR000039,Churned,Critical,1,75,175
USR000040,Casual Browser,High,7,70,75
USR000041,Casual Browser,High,9,220,80
USR000042,Engaged Verified,Low,3,370,6
USR000043,Casual Browser,High,2,10,72
USR000044,Casual Browser,High,5,387,36
USR000045,Casual Browser,High,1,271,67
USR000046,Casual Browser,High,8,176,76
USR000047,Churned,Critical,2,95,120
USR000048,Activation Risk,High,8,289,37
USR000049,Churned,Critical,2,344,165
USR000050,Casual Browser,High,1,201,49
USR000051,Churned,Critical,4,181,179
USR000052,Churned,Critical,1,195,108
USR000053,Engaged Verified,Low,5,12,4
USR000054,Churned,Critical,2,328,104
USR000055,Casual Browser,High,10,26,48
USR000056,Casual Browser,High,1,156,86
USR000057,Activation Risk,High,4,209,4
USR000058,Casual Browser,High,10,269,84
USR000059,Casual Browser,High,1,324,69
USR000060,Churned,Critical,2,485,99
USR000061,Casual Browser,High,1,136,80
USR000062,Churned,Critical,1,185,102
USR000063,Lost-Compliance,Low,6,279,21
USR000064,Churned,Critical,4,272,180
USR000065,Churned,Critical,2,242,177
USR000066,Churned,Critical,4,70,138
USR000067,Lost-Compliance,Low,1,107,15
USR000068,Churned,Critical,4,67,140
USR000069,Engaged Verified,Low,1,226,2
USR000070,Casual Browser,High,3,272,35
USR000071,Casual Browser,High,5,457,55
USR000072,Casual Browser,High,8,408,88
USR000073,Churned,Critical,3,52,167
USR000074,Churned,Critical,3,214,177
USR000075,Casual Browser,High,8,352,51
USR000076,Casual Browser,High,10,460,56
USR000077,Churned,Critical,2,421,164
USR000078,Churned,Critical,1,134,151
USR000079,Churned,Critical,2,268,124
