request_id,ts,user_id,method,endpoint,http_status,latency_ms,partner_bank,idempotency_key,error_msg
REQ935461491035,2025-05-31 17:16:23.000,USR000972,GET,/cbs/transaction/{id}/status,200,139,CANB,IDM8859665068,
REQ505740132994,2025-05-31 18:37:42.000,USR000972,POST,/cbs/customer/lookup,200,163,CANB,IDM5035629754,
REQ943362732379,2025-05-31 18:20:33.000,USR000972,POST,/cbs/fd/rate,200,144,CANB,IDM6909099477,
REQ876346631068,2025-05-31 18:57:40.000,USR000972,POST,/cbs/kyc/ckyc-fetch,500,209,CANB,IDM2082832925,INVALID_PAN
REQ555182119487,2025-05-31 18:22:14.000,USR000972,POST,/cbs/customer/lookup,200,170,CANB,IDM6736059629,
REQ317462444278,2025-05-31 17:40:57.000,USR000972,GET,/cbs/transaction/{id}/status,200,240,CANB,IDM8435347297,
REQ860201904418,2025-06-20 05:26:06.000,USR000551,POST,/cbs/fd/rate,200,92,RBL,IDM6958210258,
REQ589452387953,2025-06-20 05:51:15.000,USR000551,GET,/cbs/transaction/{id}/status,200,90,RBL,IDM3379819488,
REQ740513345024,2025-06-20 05:47:29.000,USR000551,POST,/cbs/aml/screen,200,617,RBL,IDM6031643427,
REQ413994543012,2025-06-20 05:19:15.000,USR000551,GET,/cbs/transaction/{id}/status,500,127,RBL,IDM3346665165,ACCT_NOT_FOUND
REQ813379959740,2025-06-20 04:23:37.000,USR000551,POST,/cbs/transaction/initiate,200,515,RBL,IDM1869482577,
REQ986480391666,2026-04-21 21:11:05.000,USR000966,GET,/cbs/transaction/{id}/status,200,203,BARB,IDM2631748734,
REQ904543158642,2026-04-21 20:52:28.000,USR000966,GET,/cbs/transaction/{id}/status,400,151,BARB,IDM3139443465,RATE_LIMITED
REQ837751278064,2025-08-07 15:42:38.000,USR000436,GET,/cbs/transaction/{id}/status,200,252,PUNB,IDM4078618904,
REQ245512234558,2025-08-07 15:26:30.000,USR000436,POST,/cbs/customer/lookup,200,136,PUNB,IDM6482868785,
REQ910690273703,2025-08-07 16:44:51.000,USR000436,POST,/cbs/fd/rate,200,64,PUNB,IDM9338313064,
REQ561208823462,2025-08-14 06:15:20.000,USR000490,POST,/cbs/aml/screen,200,538,PUNB,IDM6974682845,
REQ220673366548,2025-08-14 05:03:51.000,USR000490,POST,/cbs/fd/rate,400,114,PUNB,IDM4079168186,RATE_LIMITED
REQ404426716774,2025-08-14 05:48:53.000,USR000490,POST,/cbs/aml/screen,200,875,PUNB,IDM9105272436,
REQ757414864455,2025-08-14 05:47:32.000,USR000490,POST,/cbs/penny-drop,200,607,PUNB,IDM7847625976,
REQ562748136640,2025-08-14 06:05:40.000,USR000490,GET,/cbs/transaction/{id}/status,200,132,PUNB,IDM5044635380,
REQ633518539793,2025-08-14 06:09:47.000,USR000490,GET,/cbs/transaction/{id}/status,200,230,PUNB,IDM1470735539,
REQ345660665929,2025-08-14 05:22:27.000,USR000490,POST,/cbs/aml/screen,200,728,PUNB,IDM3188681570,
REQ965396121055,2025-08-14 05:33:32.000,USR000490,POST,/cbs/penny-drop,200,1312,PUNB,IDM5124341339,
REQ918364627977,2025-08-14 06:43:12.000,USR000490,POST,/cbs/fd/booking,200,529,PUNB,IDM1420368789,
REQ919990800585,2025-08-14 05:53:20.000,USR000490,POST,/cbs/kyc/ckyc-fetch,200,337,PUNB,IDM9546488472,
REQ587228591070,2025-11-15 17:31:27.000,USR000393,POST,/cbs/aml/screen,200,372,INDB,IDM5806941281,
REQ318919780356,2025-11-15 17:24:02.000,USR000393,POST,/cbs/fd/rate,200,74,INDB,IDM3248892128,
REQ926830356676,2025-11-15 17:03:27.000,USR000393,POST,/cbs/kyc/ckyc-fetch,200,345,INDB,IDM4353836815,
REQ408013244006,2025-06-28 19:33:43.000,USR000792,POST,/cbs/account/balance,200,122,HDFC,IDM8233881509,
REQ150771015924,2025-06-28 19:37:25.000,USR000792,POST,/cbs/customer/lookup,200,111,HDFC,IDM6260044082,
REQ796996278422,2025-06-28 19:03:26.000,USR000792,GET,/cbs/transaction/{id}/status,200,218,HDFC,IDM3748762866,
REQ705298118840,2025-12-06 16:45:49.000,USR000700,POST,/cbs/customer/lookup,400,160,BARB,IDM2246314947,AML_FLAG
REQ377577427848,2025-12-06 15:49:29.000,USR000700,POST,/cbs/customer/lookup,200,133,BARB,IDM7422531435,
REQ350464592500,2025-12-06 16:01:37.000,USR000700,POST,/cbs/transaction/initiate,200,935,BARB,IDM7053024236,
REQ812961125883,2025-12-06 15:46:46.000,USR000700,GET,/cbs/transaction/{id}/status,200,212,BARB,IDM4418085530,
REQ823252127329,2025-12-06 16:49:38.000,USR000700,POST,/cbs/fd/rate,200,122,BARB,IDM9812970890,
REQ942071906295,2025-12-06 16:16:45.000,USR000700,POST,/cbs/account/balance,200,156,BARB,IDM5144708101,
REQ355411261175,2025-12-06 16:48:43.000,USR000700,POST,/cbs/customer/lookup,200,161,BARB,IDM3497771728,
REQ999486419490,2026-02-01 12:09:13.000,USR000047,POST,/cbs/aml/screen,504,787,CANB,IDM9271581615,PENNY_DROP_FAIL
REQ187759999652,2026-02-01 11:22:17.000,USR000047,POST,/cbs/penny-drop,400,1487,CANB,IDM4460301567,UPSTREAM_TIMEOUT
REQ131986152068,2026-02-01 12:09:43.000,USR000047,POST,/cbs/aml/screen,200,451,CANB,IDM1152859029,
REQ511255309547,2026-02-01 11:39:03.000,USR000047,POST,/cbs/customer/lookup,200,143,CANB,IDM5259498278,
REQ607746298447,2025-08-01 19:39:40.000,USR000377,POST,/cbs/aml/screen,200,715,HDFC,IDM5458417812,
REQ808160519193,2025-08-01 19:56:37.000,USR000377,POST,/cbs/kyc/ckyc-fetch,200,558,HDFC,IDM3127657677,
REQ173216308210,2025-08-01 20:00:04.000,USR000377,POST,/cbs/fd/rate,503,116,HDFC,IDM4544080851,ACCT_NOT_FOUND
REQ244854013047,2025-08-01 19:48:15.000,USR000377,POST,/cbs/aml/screen,200,673,HDFC,IDM9518375819,
REQ810712175757,2025-06-06 23:14:03.000,USR000220,POST,/cbs/penny-drop,200,821,CANB,IDM4309095991,
REQ545141083714,2025-06-07 00:35:07.000,USR000220,GET,/cbs/transaction/{id}/status,401,169,CANB,IDM3653241196,PENNY_DROP_FAIL
REQ650103188390,2025-06-07 00:14:37.000,USR000220,POST,/cbs/account/balance,400,200,CANB,IDM7701190860,AML_FLAG
REQ746606706994,2025-06-06 23:49:05.000,USR000220,POST,/cbs/aml/screen,200,817,CANB,IDM4386213414,
REQ762437928149,2025-06-06 23:18:59.000,USR000220,GET,/cbs/transaction/{id}/status,404,241,CANB,IDM6177089784,ACCT_NOT_FOUND
