user_id,invited,session_started,session_completed,rejected,drop_reason,queue_wait_seconds,session_duration_seconds,agent_id,language_used,device_os,attempt_no,ts
USR000229,True,True,True,False,,203,462,AG489,te,iOS,1,2025-09-21 06:00:00
USR000791,True,True,True,False,,316,353,AG307,en,iOS,1,2025-05-25 07:00:00
USR000904,True,True,True,False,,73,643,AG454,bn,Android,1,2025-12-17 18:00:00
USR000946,True,True,True,False,,389,313,AG668,te,Web-Desktop,3,2025-03-13 03:00:00
USR000925,True,True,True,False,,246,477,AG946,ta,Android,1,2026-01-23 15:00:00
USR000726,True,True,False,True,PAN_BLUR,306,295,AG605,gu,Android,1,2025-05-01 16:00:00
USR000894,True,False,False,False,NEVER_OPENED_LINK,0,0,,hi,Web-Desktop,2,2025-07-03 05:00:00
USR000174,True,True,True,False,,404,244,AG957,hi,Android,1,2026-01-07 18:00:00
USR000075,True,True,False,True,CONSENT_NOT_GIVEN,16,398,AG824,hi,Android,2,2025-05-25 02:00:00
USR000291,True,True,False,False,APP_CRASHED,98,655,AG754,hi,Android,1,2026-02-21 09:00:00
USR000699,True,True,True,False,,388,521,AG380,en,iOS,2,2025-01-09 19:00:00
USR000439,True,True,True,False,,232,165,AG268,en,Web-Desktop,2,2026-03-13 18:00:00
USR000037,True,True,True,False,,290,461,AG863,ta,Web-Desktop,1,2025-06-01 00:00:00
USR000969,True,True,False,False,USER_DROPPED,43,478,AG893,hi,Web-Desktop,2,2025-08-11 14:00:00
USR000490,True,True,True,False,,128,395,AG529,en,iOS,1,2025-08-14 05:00:00
USR000487,True,True,False,False,AGENT_BUSY_QUEUE,28,606,AG110,mr,Android,1,2025-11-16 13:00:00
USR000576,True,True,False,True,PAN_BLUR,397,309,AG338,en,Web-Desktop,3,2025-05-12 20:00:00
USR000867,True,True,True,False,,284,340,AG877,mr,Android,1,2025-02-13 22:00:00
USR000972,True,True,False,True,LANGUAGE_BARRIER,183,547,AG151,hi,iOS,1,2025-06-03 07:00:00
USR000078,True,True,True,False,,353,526,AG448,mr,Web-Desktop,1,2025-12-29 07:00:00
USR000901,True,True,True,False,,45,203,AG781,en,Android,1,2025-06-13 10:00:00
USR000575,True,True,False,False,USER_DROPPED,313,174,AG965,bn,iOS,1,2025-01-24 18:00:00
USR000862,True,True,True,False,,269,480,AG206,te,iOS,1,2025-12-18 07:00:00
USR000752,True,False,False,False,NEVER_OPENED_LINK,0,0,,kn,Android,1,2025-01-21 06:00:00
USR000292,True,True,False,True,CONSENT_NOT_GIVEN,340,647,AG758,hi,Web-Desktop,1,2025-08-24 15:00:00
USR000209,True,True,True,False,,332,711,AG841,hi,iOS,1,2025-11-02 03:00:00
USR000618,True,True,False,False,AGENT_BUSY_QUEUE,74,582,AG572,en,Android,1,2025-06-02 15:00:00
USR000708,True,True,True,False,,176,399,AG360,kn,Android,1,2025-07-02 10:00:00
USR000232,True,True,False,False,APP_CRASHED,417,652,AG853,en,iOS,2,2025-03-30 01:00:00
USR000631,True,True,True,False,,107,544,AG905,hi,iOS,1,2025-02-14 03:00:00
USR000874,True,True,True,False,,118,689,AG772,en,Android,3,2025-01-10 19:00:00
USR000378,True,True,False,False,APP_CRASHED,292,182,AG502,ta,Android,1,2025-03-28 14:00:00
USR000850,True,True,True,False,,231,580,AG298,en,iOS,1,2025-01-10 10:00:00
USR000663,True,True,True,False,,294,569,AG756,hi,Android,2,2025-12-26 05:00:00
USR000452,True,True,False,False,USER_DROPPED,51,579,AG569,hi,Web-Desktop,2,2026-04-24 19:00:00
USR000977,True,True,False,True,LANGUAGE_BARRIER,392,241,AG184,ta,Android,1,2025-07-26 04:00:00
USR000561,True,True,False,False,APP_CRASHED,164,302,AG290,en,iOS,2,2025-05-20 06:00:00
USR000884,True,True,True,False,,65,487,AG994,en,Web-Desktop,2,2025-07-30 04:00:00
USR000888,True,True,False,False,USER_DROPPED,396,165,AG257,bn,Android,1,2025-12-06 17:00:00
USR000266,True,True,True,False,,325,302,AG472,en,Android,1,2025-11-21 09:00:00
USR000453,True,True,False,False,AGENT_BUSY_QUEUE,276,544,AG277,en,iOS,1,2025-12-14 01:00:00
USR000420,True,True,False,False,USER_DROPPED,324,356,AG263,mr,Web-Mobile,1,2025-05-03 19:00:00
USR000962,True,False,False,False,NEVER_OPENED_LINK,0,0,,en,iOS,2,2025-07-10 13:00:00
USR000358,True,False,False,False,DEVICE_NOT_SUPPORTED,0,0,,hi,Android,2,2025-03-13 21:00:00
USR000003,True,True,False,False,AGENT_BUSY_QUEUE,147,227,AG703,hi,Web-Mobile,1,2026-03-25 17:00:00
USR000349,True,True,False,True,PAN_BLUR,315,219,AG526,ta,Android,1,2026-01-06 20:00:00
USR000305,True,True,False,True,CONSENT_NOT_GIVEN,71,139,AG482,ta,Web-Desktop,1,2026-01-21 11:00:00
USR000512,True,False,False,False,NEVER_OPENED_LINK,0,0,,hi,Android,1,2026-01-19 13:00:00
USR000385,True,True,False,False,AGENT_BUSY_QUEUE,42,485,AG252,ml,Android,1,2025-06-24 07:00:00
USR000508,True,True,True,False,,50,667,AG753,hi,Web-Desktop,1,2025-05-12 16:00:00
USR000271,True,True,True,False,,375,127,AG608,hi,Android,2,2025-07-18 20:00:00
USR000821,True,True,True,False,,393,156,AG440,ta,Android,1,2026-03-09 21:00:00
USR000274,True,True,False,False,APP_CRASHED,150,443,AG247,en,iOS,1,2025-09-28 06:00:00
