event_id,user_id,step,surface,device,language,ts,session_id,utm_source,page_load_ms,error_code
EVT00000001,USR000001,landing,web,Android,te,2026-04-18 07:57:00,SES339808,WhatsApp,3362,
EVT00000002,USR000001,rate_check,web,Android,te,2026-04-18 10:57:00,SES359527,WhatsApp,,TIMEOUT
EVT00000003,USR000002,landing,web,Web-Mobile,ta,2025-10-20 21:59:00,SES294217,Influencer-YT,2262,
EVT00000004,USR000002,rate_check,web,Web-Mobile,ta,2025-10-20 22:17:00,SES192293,Influencer-YT,,
EVT00000005,USR000002,register,web,Web-Mobile,ta,2025-10-20 23:19:00,SES565497,Influencer-YT,,
EVT00000006,USR000002,otp_verify,web,Web-Mobile,ta,2025-10-21 00:29:00,SES882112,Influencer-YT,,
EVT00000007,USR000002,kyc_pan,web,Web-Mobile,ta,2025-10-21 01:41:00,SES904702,Influencer-YT,,
EVT00000008,USR000002,kyc_address,web,Web-Mobile,ta,2025-10-21 04:14:00,SES956708,Influencer-YT,,
EVT00000009,USR000002,vkyc_invite,web,Web-Mobile,ta,2025-10-21 06:43:00,SES579784,Influencer-YT,,
EVT00000010,USR000002,vkyc_session,web,Web-Mobile,ta,2025-10-21 08:07:00,SES702611,Influencer-YT,,DOC_REJECTED
EVT00000011,USR000004,landing,web,Web-Desktop,en,2025-12-21 11:38:00,SES467642,Email,636,
EVT00000012,USR000004,rate_check,web,Web-Desktop,en,2025-12-21 13:56:00,SES576660,Email,,USER_ABANDONED
EVT00000013,USR000005,landing,web,Android,en,2026-01-10 10:19:00,SES562988,Google Ads,1962,
EVT00000014,USR000005,rate_check,web,Android,en,2026-01-10 12:10:00,SES545752,Google Ads,,
EVT00000015,USR000005,register,web,Android,en,2026-01-10 13:53:00,SES890153,Google Ads,,USER_ABANDONED
EVT00000016,USR000006,landing,web,iOS,en,2025-10-06 02:29:00,SES570102,Organic search,1962,
EVT00000017,USR000006,rate_check,web,iOS,en,2025-10-06 04:37:00,SES986530,Organic search,,
EVT00000018,USR000006,register,web,iOS,en,2025-10-06 04:41:00,SES656738,Organic search,,
EVT00000019,USR000006,otp_verify,web,iOS,en,2025-10-06 06:29:00,SES888555,Organic search,,
EVT00000020,USR000006,kyc_pan,web,iOS,en,2025-10-06 07:51:00,SES703100,Organic search,,
EVT00000021,USR000006,kyc_address,web,iOS,en,2025-10-06 10:32:00,SES492972,Organic search,,
EVT00000022,USR000006,vkyc_invite,web,iOS,en,2025-10-06 12:24:00,SES869297,Organic search,,
EVT00000023,USR000006,vkyc_session,web,iOS,en,2025-10-06 14:56:00,SES783795,Organic search,,
EVT00000024,USR000006,vkyc_complete,web,iOS,en,2025-10-06 16:43:00,SES608493,Organic search,,USER_ABANDONED
EVT00000025,USR000007,landing,web,Android,en,2025-09-19 21:23:00,SES580552,Google Ads,1506,
EVT00000026,USR000007,rate_check,web,Android,en,2025-09-19 23:03:00,SES760529,Google Ads,,VALIDATION_FAIL
EVT00000027,USR000010,landing,web,Web-Mobile,gu,2026-04-18 00:59:00,SES556318,Google Ads,2970,
EVT00000028,USR000010,rate_check,web,Web-Mobile,gu,2026-04-18 02:07:00,SES667234,Google Ads,,DOC_REJECTED
EVT00000029,USR000012,landing,web,iOS,ta,2026-01-06 08:29:00,SES449881,WhatsApp,268,
EVT00000030,USR000012,rate_check,web,iOS,ta,2026-01-06 11:25:00,SES593602,WhatsApp,,
EVT00000031,USR000012,register,web,iOS,ta,2026-01-06 12:53:00,SES736889,WhatsApp,,
EVT00000032,USR000012,otp_verify,web,iOS,ta,2026-01-06 13:03:00,SES203922,WhatsApp,,
EVT00000033,USR000012,kyc_pan,web,iOS,ta,2026-01-06 13:22:00,SES465620,WhatsApp,,
EVT00000034,USR000012,kyc_address,web,iOS,ta,2026-01-06 15:24:00,SES655915,WhatsApp,,USER_ABANDONED
EVT00000035,USR000013,landing,web,Web-Desktop,en,2026-05-05 17:29:00,SES119275,Direct,759,
EVT00000036,USR000013,rate_check,web,Web-Desktop,en,2026-05-05 19:32:00,SES414207,Direct,,DOC_REJECTED
EVT00000037,USR000014,landing,web,Android,en,2026-05-04 00:27:00,SES988196,Email,1410,
EVT00000038,USR000014,rate_check,web,Android,en,2026-05-04 01:35:00,SES141341,Email,,
EVT00000039,USR000015,landing,web,Web-Desktop,ta,2025-10-20 00:16:00,SES485288,Google Ads,2648,
EVT00000040,USR000015,rate_check,web,Web-Desktop,ta,2025-10-20 02:07:00,SES813006,Google Ads,,
EVT00000041,USR000015,register,web,Web-Desktop,ta,2025-10-20 04:36:00,SES366136,Google Ads,,
EVT00000042,USR000015,otp_verify,web,Web-Desktop,ta,2025-10-20 07:03:00,SES404172,Google Ads,,
EVT00000043,USR000015,kyc_pan,web,Web-Desktop,ta,2025-10-20 09:26:00,SES808485,Google Ads,,
EVT00000044,USR000015,kyc_address,web,Web-Desktop,ta,2025-10-20 11:30:00,SES474600,Google Ads,,
