fd_id,user_id,partner_bank,product_type,principal_inr,tenor_days,interest_rate_pa,compounding,booked_at,maturity_date,maturity_amount,status,auto_renew,nominee_added,tds_applicable,source_channel,language_at_booking
FD125970727,USR000058,HDFC,NON_CALLABLE,94700.0,132,7.82,QUARTERLY,2026-01-10 00:00:00,2026-05-22,97378.17,MATURED,False,True,True,Google Ads,mr
FD249281187,USR000153,SBIN,REGULAR_FD,44000.0,267,8.19,MONTHLY,2025-11-02 00:00:00,2026-07-27,46636.06,ACTIVE,False,True,True,Email,en
FD827823208,USR000153,SBIN,NON_CALLABLE,186300.0,26,8.34,QUARTERLY,2025-01-21 00:00:00,2025-02-16,187406.78,ACTIVE,True,True,True,Email,en
FD466739472,USR000367,RBL,CALLABLE,412700.0,71,6.9,QUARTERLY,2025-10-14 00:00:00,2025-12-24,418239.23,ACTIVE,True,True,True,Referral,ta
FD716299054,USR000256,RBL,CALLABLE,52700.0,678,6.98,QUARTERLY,2025-12-02 00:00:00,2027-10-11,59532.87,ACTIVE,False,True,True,Organic search,hi
FD663007225,USR000424,RBL,SWEEP_FD,47200.0,1243,7.93,MONTHLY,2025-11-20 00:00:00,2029-04-16,59946.57,ACTIVE,True,True,True,Organic search,ml
FD118243822,USR000863,AXIS,SENIOR_CITIZEN,12600.0,69,6.71,AT_MATURITY,2025-02-02 00:00:00,2025-04-12,12759.83,ACTIVE,False,True,False,Organic search,hi
FD595978179,USR000863,AXIS,REGULAR_FD,398100.0,649,6.59,AT_MATURITY,2026-03-25 00:00:00,2028-01-03,444747.61,ACTIVE,False,True,True,Organic search,hi
FD960451661,USR000091,ICIC,SWEEP_FD,23600.0,52,6.94,QUARTERLY,2025-05-01 00:00:00,2025-06-22,23833.34,ACTIVE,False,True,False,Google Ads,en
FD904619998,USR000335,KOTK,SENIOR_CITIZEN,136900.0,444,6.17,QUARTERLY,2025-05-13 00:00:00,2026-07-31,147174.93,ACTIVE,False,True,True,Email,hi
