check_id,user_id,ts,amount_searched_inr,tenor_days,best_rate_shown_pa,banks_compared,booked_within_24h,time_on_page_seconds,language,device,city_tier,comparison_competitor
RC303624015,USR000358,2025-07-19 13:47:09,1000000,180,8.06,6,True,81,hi,Android,T2,wint
RC272802475,USR000358,2025-08-12 20:23:53,10000,730,6.75,5,False,398,hi,Android,T2,none
RC311953807,USR000358,2025-10-27 11:14:46,250000,365,8.23,2,False,336,hi,Android,T2,none
RC149812359,USR000358,2025-11-02 16:39:47,50000,1825,8.22,6,True,216,hi,Android,T2,none
RC276825083,USR000358,2025-12-14 01:51:52,100000,1825,7.38,5,True,355,hi,Android,T2,wint
RC290512357,USR000358,2025-08-02 22:44:53,100000,180,7.55,2,False,61,hi,Android,T2,none
RC471003206,USR000781,2025-09-21 19:53:11,1000000,90,7.12,6,True,335,mr,Android,T1,stable_money
RC631839475,USR000781,2025-10-01 08:31:56,1000000,365,7.93,5,True,133,mr,Android,T1,jar.app
RC931806867,USR000732,2026-02-28 04:03:08,25000,180,7.73,3,False,312,te,Android,T3,jar.app
RC265410344,USR000332,2025-12-05 10:55:29,1000000,365,8.47,7,False,140,bn,Android,T2,none
RC499198172,USR000332,2025-08-30 00:22:10,50000,180,8.35,6,False,170,bn,Android,T2,wint
RC918518845,USR000332,2026-02-05 21:03:02,10000,730,6.64,7,False,145,bn,Android,T2,stable_money
RC430206238,USR000332,2025-10-27 16:30:40,250000,365,6.81,3,True,247,bn,Android,T2,fixed.com
RC593211907,USR000332,2025-07-13 22:23:43,1000000,1825,7.16,4,False,358,bn,Android,T2,stable_money
RC164416807,USR000332,2025-07-09 07:32:00,100000,90,7.15,3,False,308,bn,Android,T2,fixed.com
RC898223649,USR000940,2025-10-12 23:24:38,1000000,90,7.72,3,False,224,hi,Android,T3,fixed.com
RC155722060,USR000940,2026-03-09 22:46:27,50000,365,6.86,4,False,65,hi,Android,T3,jar.app
RC257481965,USR000391,2026-01-17 13:26:25,50000,90,7.12,2,False,218,bn,Android,T2,none
RC816616355,USR000391,2026-01-01 10:28:45,25000,90,7.96,4,False,357,bn,Android,T2,wint
RC747751313,USR000391,2025-10-25 06:11:02,1000000,730,7.44,2,False,152,bn,Android,T2,wint
RC203582082,USR000714,2025-08-06 04:52:14,25000,365,6.63,2,False,298,hi,Android,T3,none
RC928555332,USR000714,2025-06-30 18:29:37,1000000,365,6.86,2,False,120,hi,Android,T3,self_compared
RC666181788,USR000571,2025-06-16 10:38:29,25000,90,7.74,4,False,253,gu,Android,T2,fixed.com
RC992094255,USR000571,2025-08-05 02:07:39,50000,180,8.46,6,True,383,gu,Android,T2,none
RC999633556,USR000571,2025-07-03 13:23:55,25000,730,7.7,2,False,279,gu,Android,T2,jar.app
RC343819328,USR000571,2025-07-24 19:52:22,25000,90,6.88,8,False,70,gu,Android,T2,self_compared
RC649175091,USR000571,2025-06-27 16:16:21,250000,365,8.58,4,False,192,gu,Android,T2,wint
RC789447351,USR000622,2025-07-13 10:00:57,1000000,365,6.7,6,False,193,en,Android,T3,stable_money
RC238352004,USR000622,2026-03-10 06:00:38,10000,1825,7.58,6,False,187,en,Android,T3,none
RC852336777,USR000622,2025-12-12 14:39:52,1000000,730,8.48,6,False,38,en,Android,T3,jar.app
RC869705274,USR000622,2025-07-19 19:33:47,25000,1825,7.27,7,False,344,en,Android,T3,self_compared
RC652817600,USR000622,2025-10-31 23:08:07,500000,730,7.31,2,False,331,en,Android,T3,wint
RC982003201,USR000622,2025-07-20 09:16:05,25000,90,7.33,5,False,131,en,Android,T3,none
RC158692719,USR000362,2025-10-24 23:23:34,500000,730,7.69,6,False,310,en,Android,T1,wint
RC918163851,USR000362,2025-06-12 19:26:07,50000,90,8.47,3,False,304,en,Android,T1,self_compared
RC366129188,USR000362,2026-02-20 12:26:57,50000,365,6.76,7,False,129,en,Android,T1,fixed.com
RC725645444,USR000362,2026-01-07 18:51:51,100000,180,6.6,4,False,217,en,Android,T1,stable_money
RC335184721,USR000282,2025-07-01 12:20:44,100000,90,8.3,7,False,190,hi,Android,T3,stable_money
RC170118018,USR000282,2025-10-03 08:16:52,1000000,365,7.97,2,False,219,hi,Android,T3,jar.app
RC483445133,USR000282,2025-08-03 15:17:29,50000,1825,7.42,4,True,200,hi,Android,T3,jar.app
RC104390508,USR000282,2025-07-16 18:57:56,50000,365,7.01,3,False,129,hi,Android,T3,stable_money
RC680294403,USR000282,2026-01-30 13:09:20,1000000,730,8.46,8,False,303,hi,Android,T3,fixed.com
RC829813830,USR000996,2025-12-09 19:50:33,100000,90,7.16,5,False,259,en,Web-Desktop,T1,stable_money
RC873409140,USR000996,2025-09-20 07:26:14,250000,365,7.05,7,False,393,en,Web-Desktop,T1,self_compared
RC630340494,USR000996,2025-12-22 09:33:50,100000,365,7.87,4,False,357,en,Web-Desktop,T1,stable_money
RC274042041,USR000996,2026-03-12 00:13:50,100000,180,7.86,3,False,354,en,Web-Desktop,T1,self_compared
RC648079762,USR000996,2025-12-31 17:12:48,50000,90,7.27,5,False,199,en,Web-Desktop,T1,jar.app
RC939234165,USR000761,2025-11-17 09:54:39,1000000,180,8.23,8,False,230,kn,Android,T3,jar.app
RC797868443,USR000761,2025-09-28 07:52:33,1000000,365,7.16,7,False,337,kn,Android,T3,stable_money
RC132977379,USR000761,2025-08-03 20:08:35,1000000,90,6.8,8,False,203,kn,Android,T3,wint
RC100807191,USR000761,2025-09-03 09:18:08,1000000,180,6.73,4,False,195,kn,Android,T3,fixed.com
RC147440195,USR000761,2025-07-27 14:39:30,500000,730,7.72,4,False,295,kn,Android,T3,self_compared
RC371245393,USR000904,2026-01-08 04:04:57,250000,730,7.98,5,False,120,bn,Android,T1,none
