pg_txn_id,order_id,ts,user_id,gateway,method,amount_inr,status,failure_code,merchant_category,card_network,is_recurring,mandate_id
PG47313264342434,ORD21989635150,2025-06-16 21:42:54,USR000215,Razorpay,UPI,61445.29,CAPTURED,,fd_booking,,False,
PG60573963052472,ORD99126088418,2025-12-28 22:33:46,USR000215,BillDesk,UPI,6296.04,CAPTURED,,fd_booking,,False,
PG51399100479102,ORD54133956796,2025-05-12 05:04:41,USR000332,Razorpay,EMI,41829.09,CAPTURED,,ecommerce,,True,
PG84791490715375,ORD71266023484,2025-10-31 21:55:18,USR000332,Cashfree,DC,36592.12,CAPTURED,,recharge,AMEX,False,
PG15692257629336,ORD37715983998,2025-11-02 23:26:43,USR000332,PayU,CC,65205.57,CAPTURED,,recharge,MC,False,
PG19146497901949,ORD95213228391,2026-02-25 23:38:16,USR000332,HDFC-PG,UPI,34823.75,CAPTURED,,ecommerce,,False,
PG57052284303178,ORD12248250436,2025-10-28 21:48:45,USR000332,HDFC-PG,UPI,41200.96,CAPTURED,,fd_booking,,False,
PG89626896322058,ORD87474925927,2026-03-06 00:24:56,USR000332,BillDesk,UPI,26732.87,CAPTURED,,recharge,,True,MND4677177310
PG13989363989251,ORD26139217599,2026-03-25 11:10:41,USR000332,Razorpay,EMI,74034.06,CAPTURED,,ecommerce,,False,MND8329363952
PG41870535540138,ORD68995776005,2025-09-05 03:11:20,USR000332,Razorpay,UPI,27739.85,FAILED,INSUFFICIENT_BALANCE,ecommerce,,False,
PG41030041267431,ORD97220189112,2025-02-09 01:00:51,USR000332,Cashfree,UPI,35450.74,CAPTURED,,utility,,False,
PG69100741777025,ORD59618143561,2026-01-05 06:34:32,USR000332,Razorpay,NB,32657.52,CAPTURED,,fd_booking,,False,
PG15903810316450,ORD14740856875,2025-04-09 20:31:12,USR000275,Razorpay,DC,12005.73,CAPTURED,,recharge,RUPAY,False,
PG11119664862945,ORD90318440358,2025-06-09 07:21:26,USR001000,CCAvenue,NB,1190.74,CAPTURED,,fd_booking,,False,MND1805639354
PG35365236210394,ORD17360518333,2025-08-17 17:12:14,USR001000,Razorpay,CC,16367.94,REFUNDED,,insurance,MC,False,
PG20291228068384,ORD13947344448,2026-01-23 12:47:14,USR001000,CCAvenue,Wallet,47771.33,CAPTURED,,fd_booking,,False,
PG90681192465298,ORD90738292695,2025-12-12 23:28:32,USR001000,Razorpay,UPI,18311.03,CAPTURED,,fd_booking,,False,
PG90995993765375,ORD16896679472,2025-01-31 22:04:58,USR001000,Paytm-PG,UPI,12022.62,CAPTURED,,recharge,,False,
PG55910807136447,ORD96113301971,2026-02-19 00:13:41,USR000111,CCAvenue,UPI,71692.3,CAPTURED,,investment,,False,MND9393477014
PG60030808046276,ORD83416649024,2025-09-17 23:11:05,USR000111,BillDesk,UPI,16925.41,CAPTURED,,recharge,,False,
PG56021151713099,ORD52105713476,2025-06-14 20:51:47,USR000111,Cashfree,NB,40161.85,CAPTURED,,ecommerce,,False,
PG59370056163314,ORD71455009846,2026-02-08 01:51:03,USR000111,PayU,UPI,21590.34,CAPTURED,,ecommerce,,False,
PG96922509304907,ORD23126274560,2025-05-21 08:13:58,USR000111,Paytm-PG,NB,43188.56,CAPTURED,,insurance,,True,
PG45399876853750,ORD36804710921,2025-11-04 16:44:56,USR000111,Paytm-PG,UPI,1107.02,CAPTURED,,investment,,False,
PG77057031523264,ORD94181153996,2025-07-23 10:15:11,USR000111,PayU,Wallet,9940.87,CAPTURED,,investment,,True,
PG22190317604538,ORD65734901733,2026-03-15 09:07:31,USR000457,HDFC-PG,NB,39326.31,FAILED,OTP_NOT_ENTERED,utility,,False,MND6298046454
PG38551809147436,ORD72735884408,2025-07-11 01:08:20,USR000457,PayU,EMI,50754.51,CAPTURED,,utility,,False,
PG49549282903980,ORD62624889261,2026-03-06 13:38:25,USR000457,CCAvenue,UPI,4289.44,CAPTURED,,investment,,True,
PG11502280344684,ORD32427008153,2025-02-28 14:46:40,USR000457,HDFC-PG,CC,29224.51,CAPTURED,,utility,RUPAY,False,
PG42582977111684,ORD84261168021,2026-04-18 03:54:30,USR000457,BillDesk,EMI,9786.28,CAPTURED,,fd_booking,,False,
PG73924240509856,ORD43332478809,2026-02-02 10:59:50,USR000457,Paytm-PG,DC,23365.62,CAPTURED,,fd_booking,RUPAY,False,
PG33547368597028,ORD10014573086,2025-08-31 00:40:27,USR000457,CCAvenue,UPI,20512.4,CAPTURED,,insurance,,False,
PG71890977923361,ORD30989847972,2025-10-26 12:14:56,USR000457,HDFC-PG,UPI,32729.34,CAPTURED,,investment,,True,
PG91693158704653,ORD55356156805,2025-09-07 04:52:51,USR000457,Paytm-PG,DC,13740.32,CAPTURED,,insurance,VISA,False,
PG82871813327022,ORD33692393881,2025-09-15 17:31:12,USR000251,Paytm-PG,CC,1690.86,CAPTURED,,insurance,MC,True,
PG55797085975747,ORD49491736000,2026-02-03 20:53:10,USR000251,Razorpay,UPI,54019.66,CAPTURED,,investment,,False,
PG60887881071547,ORD13552248629,2025-01-01 17:17:12,USR000251,Razorpay,UPI,25067.38,AUTHORIZED,AUTH_TIMEOUT,utility,,True,
PG48320609857622,ORD54959739886,2026-01-21 16:20:17,USR000251,Paytm-PG,UPI,32767.36,CAPTURED,,utility,,False,
PG47386803618415,ORD64878045312,2025-08-02 07:59:26,USR000899,PayU,NB,72205.52,CAPTURED,,fd_booking,,True,MND2563787060
PG99769574339254,ORD17322540246,2025-12-08 08:20:40,USR000899,HDFC-PG,UPI,61257.98,CAPTURED,,fd_booking,,False,
PG49917242402575,ORD47635592848,2025-03-21 04:23:28,USR000899,HDFC-PG,UPI,13441.83,CAPTURED,,ecommerce,,False,
PG30519601466712,ORD94936543727,2026-02-10 10:58:07,USR000899,Cashfree,UPI,42309.9,CAPTURED,,utility,,True,
PG16540364099559,ORD31466590375,2026-03-14 04:51:17,USR000899,Paytm-PG,UPI,71794.68,CAPTURED,,utility,,True,
PG24549918640247,ORD63143241482,2026-04-21 21:02:49,USR000899,Razorpay,Wallet,57066.46,CAPTURED,,recharge,,False,
PG43946549947759,ORD78390072578,2025-10-28 10:36:13,USR000899,CCAvenue,DC,18085.24,CAPTURED,,investment,AMEX,False,
PG50691818338553,ORD59450844922,2025-05-02 16:51:29,USR000899,Paytm-PG,UPI,510.39,CAPTURED,,utility,,False,
PG42964476162548,ORD54149849456,2025-02-22 05:04:22,USR000378,CCAvenue,UPI,49508.5,CAPTURED,,insurance,,False,
PG48826993880230,ORD78293211459,2025-08-30 09:36:12,USR000378,HDFC-PG,UPI,66146.47,REFUNDED,,recharge,,False,
PG48716465029018,ORD79984862485,2025-08-24 17:21:21,USR000378,Paytm-PG,Wallet,7250.36,CAPTURED,,insurance,,False,MND7626239413
PG60042793019761,ORD82115712018,2025-11-01 00:28:10,USR000378,Razorpay,NB,22983.14,CAPTURED,,ecommerce,,False,
PG27014992804370,ORD88617187383,2025-07-09 18:45:55,USR000378,CCAvenue,UPI,39726.72,CAPTURED,,recharge,,False,
PG90665470934515,ORD29382634437,2026-04-27 19:52:15,USR000378,HDFC-PG,UPI,2985.61,CAPTURED,,ecommerce,,True,MND3528251573
PG62768276791279,ORD22659456029,2025-09-23 17:26:23,USR000378,Cashfree,NB,13760.89,CAPTURED,,utility,,True,
PG77817603915641,ORD10017531033,2025-09-03 13:04:05,USR000378,BillDesk,UPI,62165.65,CAPTURED,,fd_booking,,False,
PG72785630687730,ORD48470413118,2025-07-18 09:15:39,USR000378,HDFC-PG,UPI,31604.14,CAPTURED,,utility,,False,MND7559617574
PG66986327641106,ORD28897242136,2025-10-15 11:38:07,USR000378,HDFC-PG,DC,66278.84,REFUNDED,,fd_booking,MC,True,
PG53234909935060,ORD45207255397,2025-02-24 07:03:02,USR000773,Cashfree,UPI,4924.67,CAPTURED,,insurance,,False,
PG38276690794237,ORD88268674511,2025-06-11 09:42:19,USR000773,HDFC-PG,UPI,32357.82,CAPTURED,,fd_booking,,True,
PG99870145703335,ORD40176856827,2025-08-20 00:03:36,USR000773,Cashfree,DC,49462.2,CAPTURED,,utility,RUPAY,False,MND2359494361
PG17424612510942,ORD82080213993,2025-12-03 08:58:50,USR000773,Cashfree,UPI,61578.23,CAPTURED,,fd_booking,,False,
PG68136644442473,ORD51475870232,2025-05-25 10:29:45,USR000773,HDFC-PG,UPI,17416.84,CAPTURED,,fd_booking,,False,MND9663383341
PG96547767171380,ORD67033335968,2025-06-20 11:28:26,USR000773,Cashfree,UPI,57988.8,FAILED,CARD_BLOCKED,fd_booking,,False,
PG38930267412722,ORD98408952826,2025-10-25 02:13:29,USR000143,Razorpay,NB,41665.8,CAPTURED,,investment,,False,
PG43635294422606,ORD19073484580,2025-11-01 19:24:59,USR000143,HDFC-PG,NB,24445.03,FAILED,OTP_NOT_ENTERED,ecommerce,,True,
PG60740697713274,ORD83777357972,2025-10-16 11:09:47,USR000143,Paytm-PG,EMI,19825.27,CAPTURED,,ecommerce,,False,MND9718787483
PG37129464426827,ORD80875709032,2026-03-13 16:12:58,USR000143,HDFC-PG,UPI,72589.88,CAPTURED,,ecommerce,,False,
PG35695832686342,ORD25868950496,2025-10-01 18:10:47,USR000143,PayU,UPI,41609.45,CAPTURED,,ecommerce,,False,
PG36316937406905,ORD66207349665,2025-04-07 12:50:24,USR000143,Paytm-PG,NB,66562.73,CAPTURED,,recharge,,False,
PG60430380638596,ORD88244854456,2025-11-01 04:41:25,USR000143,CCAvenue,UPI,63594.39,CAPTURED,,investment,,False,
PG91298116809567,ORD55407219412,2025-06-17 01:49:20,USR000143,CCAvenue,UPI,50903.87,CAPTURED,,fd_booking,,False,
PG12600021232698,ORD84212547322,2025-01-14 11:47:16,USR000866,BillDesk,UPI,37956.93,CAPTURED,,utility,,False,MND4394034662
PG77559199494546,ORD48451598666,2025-10-24 04:57:01,USR000866,PayU,CC,48867.74,CAPTURED,,insurance,VISA,False,
PG30128307656935,ORD18314521436,2025-05-10 13:39:42,USR000866,HDFC-PG,UPI,72846.18,CAPTURED,,fd_booking,,True,
PG49091197553717,ORD13350021134,2025-03-03 14:59:01,USR000866,CCAvenue,UPI,7281.71,FAILED,CARD_BLOCKED,investment,,False,
PG60537287802225,ORD75227308740,2025-10-27 06:32:39,USR000866,PayU,CC,29778.76,CAPTURED,,fd_booking,VISA,False,
PG43179438752920,ORD25649706637,2026-03-11 13:22:41,USR000866,Paytm-PG,UPI,3561.86,CAPTURED,,ecommerce,,False,
PG14557387295262,ORD34308483597,2025-05-16 22:43:21,USR000866,HDFC-PG,NB,33472.13,CAPTURED,,recharge,,False,
PG72430222603935,ORD10044597731,2025-05-01 09:57:30,USR000866,HDFC-PG,EMI,18914.74,CAPTURED,,insurance,,False,
PG57612589631826,ORD56330639969,2026-01-27 21:22:54,USR000866,CCAvenue,UPI,35992.63,AUTHORIZED,INSUFFICIENT_BALANCE,utility,,False,
PG13744844329570,ORD38784916524,2025-04-04 23:36:37,USR000866,PayU,UPI,22970.53,CAPTURED,,investment,,False,
PG42092408393952,ORD89912524145,2025-05-20 17:25:55,USR000866,HDFC-PG,UPI,40352.81,CAPTURED,,utility,,False,
PG44504541872761,ORD96317981051,2025-07-18 20:24:11,USR000866,Cashfree,NB,7658.62,CAPTURED,,utility,,True,MND4171067336
PG12373711413539,ORD15567540211,2026-03-29 07:12:05,USR000671,BillDesk,UPI,56140.1,CAPTURED,,investment,,False,MND5271801906
PG99760171701161,ORD15969340903,2026-04-08 07:18:39,USR000671,PayU,DC,70532.8,CAPTURED,,fd_booking,RUPAY,False,
PG73511044962362,ORD97261176197,2025-04-06 19:45:07,USR000671,CCAvenue,UPI,14167.53,CAPTURED,,fd_booking,,False,
PG23719870853270,ORD82854854485,2025-02-05 15:24:39,USR000316,HDFC-PG,UPI,56011.83,CAPTURED,,ecommerce,,False,
PG58926225027871,ORD81211676083,2025-08-10 07:48:57,USR000316,BillDesk,UPI,64509.46,CAPTURED,,ecommerce,,False,
PG43025841097940,ORD50800629702,2025-07-27 04:10:31,USR000316,CCAvenue,UPI,11649.2,CAPTURED,,fd_booking,,False,
PG46523263315150,ORD46424603992,2025-08-21 10:06:38,USR000316,Cashfree,UPI,3381.25,AUTHORIZED,FRAUD_FLAG,fd_booking,,True,
PG39213729205616,ORD41874503120,2025-04-16 06:13:41,USR000316,Cashfree,UPI,35559.03,CAPTURED,,ecommerce,,False,MND9939880642
PG43984330861029,ORD71111456594,2025-09-08 18:33:53,USR000316,PayU,UPI,72436.99,CAPTURED,,investment,,False,
PG97410957935161,ORD72174545727,2025-10-25 17:14:09,USR000316,Razorpay,EMI,14936.29,FAILED,CARD_BLOCKED,ecommerce,,True,MND4799422156
PG38224456222197,ORD34495430814,2026-04-22 20:35:59,USR000316,Razorpay,NB,42661.0,CAPTURED,,fd_booking,,False,
PG38283311395511,ORD80449647321,2025-01-23 22:09:57,USR000316,PayU,NB,38385.11,REFUNDED,,fd_booking,,False,
PG67324397749134,ORD22823769751,2025-03-22 12:03:41,USR000616,Paytm-PG,UPI,69751.41,CAPTURED,,fd_booking,,False,
PG77980708633815,ORD59337409008,2026-02-08 13:18:44,USR000616,Razorpay,NB,13375.01,AUTHORIZED,OTP_NOT_ENTERED,recharge,,False,MND3118868714
PG80373350421487,ORD76906339419,2026-01-24 08:22:20,USR000616,Paytm-PG,UPI,29190.47,CAPTURED,,ecommerce,,True,
PG17790435822321,ORD92288934926,2026-02-12 19:34:10,USR000616,Razorpay,Wallet,18655.05,CAPTURED,,ecommerce,,False,
PG67707125493866,ORD78266005964,2025-01-13 06:14:06,USR000616,Razorpay,NB,24433.95,CAPTURED,,insurance,,False,
PG19951245540188,ORD58288788544,2025-05-19 04:38:47,USR000616,PayU,NB,38003.58,CAPTURED,,utility,,False,
PG92602720310941,ORD94929721400,2025-03-12 21:06:22,USR000616,Cashfree,DC,16897.05,CAPTURED,,fd_booking,MC,False,
PG84557203563968,ORD60773300416,2025-03-03 06:34:46,USR000616,BillDesk,UPI,70388.96,CAPTURED,,recharge,,False,
PG49319124017203,ORD66886227536,2025-09-20 12:51:52,USR000616,Razorpay,UPI,14178.97,CAPTURED,,utility,,False,
PG34970206696457,ORD48343973454,2026-03-12 09:33:39,USR000616,Razorpay,NB,67703.78,CAPTURED,,fd_booking,,False,
PG41705515027567,ORD30040346993,2025-07-28 10:44:01,USR000616,Paytm-PG,DC,9359.12,CAPTURED,,ecommerce,RUPAY,False,
PG93246758862893,ORD31092441887,2026-01-29 18:51:14,USR000616,Razorpay,UPI,32254.93,CAPTURED,,ecommerce,,False,MND5816572818
PG49854275656841,ORD36126006758,2026-03-20 08:13:46,USR000881,Razorpay,EMI,42615.92,CAPTURED,,insurance,,False,
PG73431011340005,ORD76766151297,2025-11-26 16:03:10,USR000881,Paytm-PG,UPI,1870.09,CAPTURED,,investment,,False,
PG68442990386317,ORD78718495352,2026-01-22 02:37:07,USR000640,PayU,NB,40030.11,CAPTURED,,utility,,False,
PG19604271271415,ORD97824255612,2026-04-11 17:24:10,USR000640,Paytm-PG,UPI,4630.81,CAPTURED,,recharge,,False,
PG90104881704479,ORD49307011671,2025-12-31 17:58:01,USR000640,Cashfree,UPI,48680.69,CAPTURED,,insurance,,False,
PG25839880034754,ORD11169823622,2025-12-19 03:59:11,USR000640,PayU,NB,49488.14,CAPTURED,,utility,,False,
PG89584515700595,ORD53599614312,2025-08-26 15:08:30,USR000640,PayU,UPI,62346.73,CAPTURED,,fd_booking,,False,
PG85297165900349,ORD84659024333,2025-10-01 01:35:24,USR000640,Cashfree,UPI,25415.2,CAPTURED,,investment,,True,
PG24398603709410,ORD36378320241,2025-08-14 08:54:24,USR000640,Cashfree,UPI,27212.95,REFUNDED,,investment,,False,
PG15757940410282,ORD98585488508,2026-04-07 17:55:00,USR000640,Razorpay,UPI,36504.25,REFUNDED,,ecommerce,,False,
PG28395950668686,ORD39949846478,2025-06-13 11:50:10,USR000214,Razorpay,UPI,30949.65,CAPTURED,,insurance,,False,MND5167787789
PG19118395505154,ORD25829777944,2025-10-31 09:18:08,USR000214,PayU,CC,39298.57,FAILED,3DS_FAIL,fd_booking,VISA,False,
PG41765873398121,ORD40590390957,2025-12-05 04:07:13,USR000214,CCAvenue,NB,17002.9,CAPTURED,,investment,,False,
PG22751615025435,ORD32926662230,2025-11-20 09:20:46,USR000214,PayU,NB,9179.53,CAPTURED,,ecommerce,,False,
PG41354179221994,ORD94578661342,2025-07-24 10:59:59,USR000214,Cashfree,UPI,28484.72,CAPTURED,,fd_booking,,False,
PG65182078614201,ORD11196666293,2026-01-15 11:49:59,USR000214,HDFC-PG,NB,48775.59,CAPTURED,,fd_booking,,False,
PG93898633106355,ORD72041174398,2026-03-19 15:21:12,USR000214,Paytm-PG,UPI,57685.07,CAPTURED,,ecommerce,,False,MND3203528909
PG82782305519821,ORD62108026489,2025-02-04 03:55:36,USR000214,CCAvenue,UPI,48953.84,CAPTURED,,ecommerce,,False,
PG69247817541021,ORD14394771250,2025-07-30 18:21:54,USR000214,BillDesk,DC,27442.9,CAPTURED,,utility,VISA,False,
PG69788939435032,ORD14972601884,2025-04-19 13:20:37,USR000706,Cashfree,UPI,13166.39,CAPTURED,,utility,,False,
PG55597431524994,ORD36463168814,2025-02-10 18:28:08,USR000706,HDFC-PG,NB,17670.76,FAILED,INSUFFICIENT_BALANCE,ecommerce,,False,
PG67883363582949,ORD17980157378,2026-04-22 11:07:05,USR000706,PayU,NB,59580.08,FAILED,INSUFFICIENT_BALANCE,insurance,,False,
PG19697574796919,ORD51067549327,2026-03-08 21:31:40,USR000706,HDFC-PG,DC,27772.01,CAPTURED,,ecommerce,AMEX,False,
PG78122299656721,ORD16793796491,2025-09-04 11:54:15,USR000706,PayU,EMI,35420.51,CAPTURED,,ecommerce,,False,
PG45116165613403,ORD54129994383,2025-03-14 03:13:26,USR000706,Cashfree,UPI,36207.02,CAPTURED,,insurance,,True,
PG38323302891043,ORD68257844951,2025-12-23 14:31:23,USR000706,Razorpay,CC,49901.45,CAPTURED,,insurance,MC,False,
PG27102748640101,ORD35278622139,2025-08-23 00:28:00,USR000706,CCAvenue,UPI,24501.55,AUTHORIZED,FRAUD_FLAG,insurance,,False,
PG57265333504862,ORD37283696882,2025-03-18 18:39:10,USR000706,Paytm-PG,CC,36983.36,CAPTURED,,recharge,AMEX,False,
PG31765514568765,ORD25225532699,2025-07-28 02:09:36,USR000706,PayU,UPI,465.88,CAPTURED,,insurance,,False,
PG12531491216605,ORD17762444245,2026-04-09 21:35:39,USR000184,Razorpay,Wallet,18700.03,CAPTURED,,investment,,False,
PG11124544755434,ORD32240091607,2025-11-18 23:24:54,USR000184,PayU,NB,42462.44,CAPTURED,,ecommerce,,True,
